Timestamp,ECG_Data
1.6117,252.0000
51.0000,50.0000
53.0000,13.0000
10.0000,1.7726,337.0000
1.7784,362.0000
1.7841,332.0000
1.7925,323.0000
1.7964,319.0000
1.7971,316.0000
1.7979,282.0000
1.7991,549.0000
1.7999,657.0000
1.8080,286.0000
1.8085,279.0000
1.8306,284.0000
1.8504,291.0000
1.8862,301.0000
1.8911,313.0000
1.9146,318.0000
1.9324,329.0000
1.9517,349.0000
1.9722,364.0000
2.0112,372.0000
2.0126,341.0000
2.0517,317.0000
2.0562,306.0000
2.0931,308.0000
2.0950,308.0000
2.1157,312.0000
2.1363,315.0000
2.1741,317.0000
2.1755,322.0000
2.1951,321.0000
2.2154,321.0000
2.2353,320.0000
2.2545,322.0000
2.2924,320.0000
2.2937,322.0000
2.3297,334.0000
2.3489,348.0000
2.3571,361.0000
2.3779,333.0000
2.4135,316.0000
2.4445,315.0000
2.4980,316.0000
2.4988,296.0000
2.5045,658.0000
2.5054,411.0000
2.5217,313.0000
2.5591,295.0000
2.5606,293.0000
2.5845,299.0000
2.6011,302.0000
2.6211,310.0000
2.6409,321.0000
2.6606,333.0000
2.7031,352.0000
2.7042,359.0000
2.7225,356.0000
2.7418,331.0000
2.7634,309.0000
2.7853,304.0000
2.8045,306.0000
2.8412,306.0000
2.8450,313.0000
2.8802,313.0000
2.8863,320.0000
2.9086,316.0000
2.9289,318.0000
2.9490,315.0000
2.9697,318.0000
2.9901,316.0000
3.0052,329.0000
3.0407,356.0000
3.0460,328.0000
3.0842,314.0000
3.0859,314.0000
3.1220,314.0000
3.1280,284.0000
3.1663,461.0000
3.1682,642.0000
3.2061,306.0000
3.2095,286.0000
3.2470,289.0000
3.2663,294.0000
3.2699,300.0000
3.3085,307.0000
3.3120,317.0000
3.3620,327.0000
3.3638,342.0000
3.3721,361.0000
3.4092,365.0000
3.4145,342.0000
3.4315,317.0000
3.4517,309.0000
3.4724,306.0000
3.4923,312.0000
3.5143,315.0000
3.5354,317.0000
3.5532,321.0000
3.5728,324.0000
3.6080,322.0000
3.6293,321.0000
3.6360,323.0000
3.6562,323.0000
3.6934,336.0000
3.6982,354.0000
3.7198,370.0000
3.7380,333.0000
3.7610,318.0000
3.7801,318.0000
3.8027,316.0000
3.8184,288.0000
3.8372,659.0000
3.8583,510.0000
3.8790,350.0000
3.8987,304.0000
3.9346,294.0000
3.9363,299.0000
